coin,price
Bitcoin,"$6,087.73"
Ethereum,$170.19
XRP,$0.299234
EOS,$4.88
Bitcoin Cash,$285.46
Litecoin,$74.07
Binance Coin,$20.43
Tether,$0.999003
Cardano,$0.06268199
Stellar,$0.09256819
TRON,$0.02401176
Monero,$66.97
Dash,$116.44
Bitcoin SV,$56.76
Cosmos,$4.22
Tezos,$1.17
IOTA,$0.277113
Ontology,$1.05
Ethereum Classic,$5.67
NEO,$8.74
Maker,$528.68
OKB,$1.62
NEM,$0.04976744
Crypto.com Chain,$0.07128776
Basic Attention Token,$0.302430
Zcash,$57.35
VeChain,$0.00638311
Bitcoin Gold,$20.00
USD Coin,$1.01
Dogecoin,$0.00257204
Decred,$26.02
TrueUSD,$1.00
OmiseGO,$1.63
Lisk,$1.73
Augur,$20.12
Waves,$2.20
ChainLink,$0.602300
Holo,$0.00121716
Nano,$1.48
Qtum,$2.40
Paxos Standard,$1.00
Bitcoin Diamond,$0.911588
Bytecoin,$0.00087944
Ravencoin,$0.04520121
0x,$0.267587
IOST,$0.01156127
ICON,$0.315038
Bytom,$0.09651069
Zilliqa,$0.01640715
BitShares,$0.05018396
Pundi X,$0.00060727
Komodo,$1.11
Aeternity,$0.462375
DigiByte,$0.01025048
Enjin Coin,$0.126106
Verge,$0.00666302
Siacoin,$0.00258555
Huobi Token,$2.39
Steem,$0.304495
KuCoin Shares,$1.03
Dai,$1.02
Factom,$8.78
Aurora,$0.01871931
Mixin,$176.92
Status,$0.02163424
Stratis,$0.762056
DigixDAO,$36.63
Crypto.com,$4.60
Horizen,$11.06
Golem,$0.07049937
Ardor,$0.06705148
Ark,$0.469766
Decentraland,$0.04893130
MaidSafeCoin,$0.140722
WAX,$0.06560385
MonaCoin,$0.951354
Theta Network,$0.08337756
Ultrain,$0.210879
Lambda,$0.05841426
GXChain,$0.955496
BitTorrent,$0.00064467
aelf,$0.161014
Arcblock,$0.548843
Aion,$0.173510
Dent,$0.00081690
Metaverse ETP,$0.659980
Waltonchain,$1.72
Reddcoin,$0.00167583
Revain,$0.100617
iExec RLC,$0.693668
HyperCash,$1.08
Nuls,$0.658107
Zcoin,$6.22
Electroneum,$0.00483670
Loopring,$0.05786544
NEXO,$0.08102161
Elastos,$3.06
Solve.Care,$0.200484
Power Ledger,$0.105664
TrueChain,$0.809051
QASH,$0.122112
ODEM,$0.184107
Nebulas,$0.883994
Particl,$4.25
Nash Exchange,$1.36
Loom Network,$0.05553112
Clams,$11.21
PIVX,$0.632423
Bancor Network Token,$0.569613
Populous,$0.972594
Kyber Network,$0.211780
Syscoin,$0.06300314
Polymath Network,$0.07959997
Wanchain,$0.322863
Gemini Dollar,$1.00
ProximaX,$0.00527776
TomoChain,$0.556257
QuarkChain,$0.02063160
Gas,$2.33
FunFair,$0.00529714
ZB Token,$0.300220
EDUCare,$0.04822866
Enigma,$0.399699
Storj,$0.227526
Bibox Token,$0.269890
NXT,$0.03084826
Obyte,$45.40
Bitex Global XBX Coin,$0.163910
Veritaseum,$13.61
RIF Token,$0.07315638
Kin,$0.00004666
TenX,$0.238180
Energi,$1.77
CyberMiles,$0.03291754
Libra Credit,$0.04555115
Groestlcoin,$0.345670
Noah Coin,$0.00036458
SingularityNET,$0.03796633
Cindicator,$0.01392042
