text,label
"I saw her today, I saw her face, it was a face I loved, and I knew I had to run away, and get down on my knees and pray that they'd go away But still they'd begin (uh), needles and pins (uh) Because of all my pride, the tears I gotta hide Hey I thought I was smart, I'd won her heart Didn't think I'd do, but now I see She's worse to him than me, let her go ahead Take his love instead, and one day she will see Just how to say please, and get down on her knees Hey that's how it begins (uh), she'll feel those needles and pins A-hurtin' her, a-hurtin' her Why can't I stop and tell myself I'm wrong, I'm wrong, so wrong Why can't I stand up and tell myself I'm strong Because I saw her today, I saw her face, it was a face I loved, and I knew I had to run away, and get down on my knees and pray that they'd go away But still they'd begin (uh), needles and pins (uh) Because of all my pride, the tears I gotta hide Oh needles and pins (uh), needles and pins (uh), needles and pins (uh)",Ramones
You're loudmouth baby You better shut up I'm gonna beat you up 'Cause you're a loudmouth babe You're loudmouth baby You better shut up I'm gonna beat you up Well you're a loudmouth babe You're loudmouth baby You better shut up I'm gonna beat you up Well you're a loudmouth babe Well You're a loudmouth baby Loudmouth baby Well You're a loudmouth baby Loudmouth baby Well You're a loudmouth baby Loudmouth baby,Ramones
"Next time I'll listen to my heart Next time, well I'll be smart Next time I'll listen to my heart Next time, well I'll be smart Next time I'll listen to my heart Next time, well I'll be smart Next time I'll listen to my heart Next time, well I'll be smart That girl could still be mine But I'm tired of the hurt Tired of tryin' I'm tired of the pain Tired of tryin' I'm tired of cryin' Next time I'll listen to my heart Next time, well I'll be smart Next time I'll listen to my heart Next time, well I'll be smart That girl could still be mine But I'm tired of the hurt Tired of tryin' I'm tired of the pain Tired of tryin' I'm tired of cryin' Next time I'll listen to my heart Next time, well I'll be smart Next time I'll listen to my heart Next time, well I'll be smart Next time I'll listen to my heart Next time, well I'll be smart Next time I'll listen to my heart Next time, well I'll be smart",Ramones
"Hey, little girl, I want to be your boyfriend Sweet little girl, I want to be your boyfriend Do you love me babe? What do you say? Do you love me babe? What can I say? Because I want to be your boyfriend Hey, little girl, I want to be your boyfriend Sweet little girl, I want to be your boyfriend Uuu uuu uuu uuu-au Because I want to be your boyfriend Hey, little girl, I want to be your boyfriend Sweet little girl, I want to be your boyfriend Do you love me babe? What do you say? Do you love me babe? What can I say? Because I want to be your boyfriend Hey, little girl, I want to be your boyfriend Sweet little girl, I want to be your boyfriend Hey, little girl, I want to be your boyfriend",Ramones
"Hey, daddy-o I don't want to go down to the basement There's somethin' down there I don't want to go Hey, Romeo There's somethin' down there I don't want to go down to the basement Hey, daddy-o I don't want to go down to the basement There's somethin' down there I don't want to go Hey, Romeo There's somethin' down there I don't want to go down to the basement Hey, daddy-o I don't want to go down to the basement There's somethin' down there I don't want to go Hey, Romeo There's somethin' down there I don't want to go down to the basement",Ramones
"Oh, oh, oh, oh, oh, oh, oh Sitting here with nothin' to do Sitting here thinkin' only of you But you'll never get out of there She'll never get out of there Sitting here with nothin' to do Sitting here thinkin' only of you But you'll never get out of there She'll never get out of there I don't care, wohoho Texas chain saw massacre They took my baby away from me But she'll never get out of there She'll never get out of there Texas chain saw massacre They took my baby away from me But she'll never get out of there She'll never get out of there I don't care, wohoho When I saw her on the corner She told me told me told me told me She wouldn't go far Ooh, now I know I'm so much in love 'Cause she's the only girl that I'm ever thinking of Texas chain saw massacre They took my baby away from me But she'll never get out of there She'll never get out of there Texas chain saw massacre They took my baby away from me But she'll never get out of there I don't care, I don't care, wohoho Texas chain saw massacre Texas chain saw massacre Oh no, oh yeah Oh no, oh yeah Oh no, oh yeah Oh no, oh yeah Oh no, oh yeah",Ramones
"Hey ho, let's go! hey ho, let's go! Hey ho, let's go! hey ho, let's go! They're forming in straight line They're going through a tight wind The kids are losing their minds The blitzkrieg bop They're piling in the back seat They're generating steam heat Pulsating to the back beat The blitzkrieg bop Hey ho, let's go Shoot'em in the back now What they want, I don't know They're all revved up and ready to go They're forming in straight line They're going through a tight wind The kids are losing their minds The blitzkrieg bop They're piling in the back seat They're generating steam heat Pulsating to the back beat The blitzkrieg bop Hey ho, let's go Shoot'em in the back now What they want, I don't know They're all revved up and ready to go They're forming in straight line They're going through a tight wind The kids are losing their minds The blitzkrieg bop They're piling in the back seat They're generating steam heat Pulsating to the back beat The blitzkrieg bop Hey ho, let's go! hey ho, let's go! Hey ho, let's go! hey ho, let's go!",Ramones
"Beat on the brat Beat on the brat Beat on the brat with a baseball bat Oh yeah, oh yeah, uh-oh Beat on the brat Beat on the brat Beat on the brat with a baseball bat Oh yeah, oh yeah, uh-oh Oh yeah, oh yeah, uh-oh What can you do? What can you do? With a brat like that always on your back What can you lose? What can you do? What can you do? With a brat like that always on your back What can you lose, lose? Beat on the brat Beat on the brat Beat on the brat with a baseball bat Oh yeah, oh yeah, uh-oh Beat on the brat Beat on the brat Beat on the brat with a baseball bat Oh yeah, oh yeah, uh-oh Oh yeah, oh yeah, uh-oh What can you do? What can you do? With a brat like that always on your back What can you lose? What can you do? What can you do? With a brat like that always on your back What can you lose, lose?",Ramones
"Tired of naggin' nothin's ever happenin' That's the attitude that isn't fun A bottle of wine, a tube of glue I don't know what to do I am just a guy who likes to rock and roll I am just a guy who likes to get drunk I am just a guy who likes to dress punk Get my kicks an' live up my life Tired of complaints I am ready for fun But I'll make friends with anyone Are you out there somebody like me If you are, I hope that you can see I am just a guy who likes to rock and roll I am just a guy who likes to get drunk I am just a guy who likes to dress punk Get my kicks an' live up my life Don't go to school don't make me laugh Can't hardly spell, can't do math In the bar or out on the street At the concert at the boutique",Ramones
"Psycho therapy, psycho therapy, psycho therapy That's what they want to give me Psycho therapy, psycho therapy, psycho therapy What they want to give me I'm a teenage schizoid, the one your parent despise Psycho therapy, now I got glowing eyes I'm a teenage schizoid, pranks and muggings are fun Psycho therapy, gonna kill someone Psycho therapy, psycho therapy Psycho therapy, psycho therapy, psycho therapy Psycho therapy, psycho therapy, psycho therapy I like takin' tuinal, it keeps me edgy and mean I'm a teenage schizoid, I'm a teenage dope fiend I'm a kid in the nuthouse, I'm a kid in the psycho zone Psycho therapy, I'm gonna burglarize your home Psycho therapy, psycho therapy, hey Psycho therapy, psycho therapy, psycho therapy Psycho therapy, psycho therapy, psycho therapy Psycho therapy, psycho therapy, psycho therapy Psycho therapy, psycho therapy, psycho therapy",Ramones
